PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
332,1,1,45.5,0,0,28.5,2
734,2,1,23.0,0,0,13.0,2
383,3,1,32.0,0,0,7.925,2
705,3,1,26.0,1,0,7.8542,2
814,3,0,6.0,4,2,31.275,2
119,1,1,24.0,0,1,247.5208,0
537,1,1,45.0,0,0,26.55,2
362,2,1,29.0,1,0,27.7208,0
30,3,1,28.0,0,0,7.8958,2
56,1,1,28.0,0,0,35.5,2
866,2,0,42.0,0,0,13.0,2
596,3,1,36.0,1,1,24.15,2
240,2,1,33.0,0,0,12.275,2
722,3,1,17.0,1,0,7.0542,2
82,3,1,29.0,0,0,9.5,2
260,2,0,50.0,0,1,26.0,2
487,1,0,35.0,1,0,90.0,2
717,1,0,38.0,0,0,227.525,0
801,2,1,34.0,0,0,13.0,2
782,1,0,17.0,1,0,57.0,2
543,3,0,11.0,4,2,31.275,2
327,3,1,61.0,0,0,6.2375,2
535,3,0,30.0,0,0,8.6625,2
536,2,0,7.0,0,2,26.25,2
484,3,0,63.0,0,0,9.5875,2
763,3,1,20.0,0,0,7.2292,0
534,3,0,28.0,0,2,22.3583,0
714,3,1,29.0,0,0,9.4833,2
391,1,1,36.0,1,2,120.0,2
496,3,1,28.0,0,0,14.4583,0
483,3,1,50.0,0,0,8.05,2
378,1,1,27.0,0,2,211.5,0
366,3,1,30.0,0,0,7.25,2
413,1,0,33.0,1,0,90.0,1
469,3,1,28.0,0,0,7.725,1
410,3,0,28.0,3,1,25.4667,2
8,3,1,2.0,3,1,21.075,2
581,2,0,25.0,1,1,30.0,2
156,1,1,51.0,0,1,61.3792,0
881,2,0,25.0,0,1,26.0,2
426,3,1,28.0,0,0,7.25,2
102,3,1,28.0,0,0,7.8958,2
200,2,0,24.0,0,0,13.0,2
425,3,1,18.0,1,1,20.2125,2
299,1,1,28.0,0,0,30.5,2
885,3,1,25.0,0,0,7.05,2
248,2,0,24.0,0,2,14.5,2
479,3,1,22.0,0,0,7.5208,2
306,1,1,0.92,1,2,151.55,2
317,2,0,24.0,1,0,26.0,2
3,3,0,26.0,0,0,7.925,2
406,2,1,34.0,1,0,21.0,2
743,1,0,21.0,2,2,262.375,0
261,3,1,28.0,0,0,7.75,1
368,3,0,28.0,0,0,7.2292,0
159,3,1,28.0,0,0,8.6625,2
555,3,0,22.0,0,0,7.775,2
830,1,0,62.0,0,0,80.0,2
678,3,0,18.0,0,0,9.8417,2
381,1,0,42.0,0,0,227.525,0
627,2,1,57.0,0,0,12.35,1
303,3,1,19.0,0,0,0.0,2
433,2,0,42.0,1,0,26.0,2
523,3,1,28.0,0,0,7.225,0
405,3,0,20.0,0,0,8.6625,2
844,3,1,34.5,0,0,6.4375,0
356,3,1,28.0,0,0,9.5,2
465,3,1,28.0,0,0,8.05,2
754,3,1,23.0,0,0,7.8958,2
213,3,1,22.0,0,0,7.25,2
450,1,1,52.0,0,0,30.5,2
80,3,0,30.0,0,0,12.475,2
149,2,1,36.5,0,2,26.0,2
429,3,1,28.0,0,0,7.75,1
61,3,1,22.0,0,0,7.2292,0
661,1,1,50.0,2,0,133.65,2
805,3,1,27.0,0,0,6.975,2
589,3,1,22.0,0,0,8.05,2
766,1,0,51.0,1,0,77.9583,2
266,2,1,36.0,0,0,10.5,2
134,2,0,29.0,1,0,26.0,2
709,1,0,22.0,0,0,151.55,2
545,1,1,50.0,1,0,106.425,0
347,2,0,40.0,0,0,13.0,2
822,3,1,27.0,0,0,8.6625,2
634,1,1,28.0,0,0,0.0,2
457,1,1,65.0,0,0,26.55,2
501,3,1,17.0,0,0,8.6625,2
431,1,1,28.0,0,0,26.55,2
446,1,1,4.0,0,2,81.8583,2
651,3,1,28.0,0,0,7.8958,2
173,3,0,1.0,1,1,11.1333,2
451,2,1,36.0,1,2,27.75,2
315,2,1,43.0,1,1,26.25,2
333,1,1,38.0,0,1,153.4625,2
802,2,0,31.0,1,1,26.25,2
91,3,1,29.0,0,0,8.05,2
835,3,1,18.0,0,0,8.3,2
182,2,1,28.0,0,0,15.05,0
582,1,0,39.0,1,1,110.8833,0
796,2,1,39.0,0,0,13.0,2
70,3,1,26.0,2,0,8.6625,2
132,3,1,20.0,0,0,7.05,2
335,1,0,28.0,1,0,133.65,2
598,3,1,49.0,0,0,0.0,2
136,2,1,23.0,0,0,15.0458,0
165,3,1,1.0,4,1,39.6875,2
29,3,0,28.0,0,0,7.8792,1
784,3,1,28.0,1,2,23.45,2
194,2,1,3.0,1,1,26.0,2
870,3,1,4.0,1,1,11.1333,2
716,3,1,19.0,0,0,7.65,2
526,3,1,40.5,0,0,7.75,1
382,3,0,1.0,0,2,15.7417,0
141,3,0,28.0,0,2,15.2458,0
174,3,1,21.0,0,0,7.925,2
7,1,1,54.0,0,0,51.8625,2
719,3,1,28.0,0,0,15.5,1
686,2,1,25.0,1,2,41.5792,0
74,3,1,26.0,1,0,14.4542,0
883,3,0,22.0,0,0,10.5167,2
329,3,0,31.0,1,1,20.525,2
454,1,1,49.0,1,0,89.1042,0
146,2,1,19.0,1,1,36.75,2
235,2,1,24.0,0,0,10.5,2
221,3,1,16.0,0,0,8.05,2
371,1,1,25.0,1,0,55.4417,0
812,3,1,39.0,0,0,24.15,2
133,3,0,47.0,1,0,14.5,2
695,1,1,60.0,0,0,26.55,2
865,2,1,24.0,0,0,13.0,2
186,1,1,28.0,0,0,50.0,2
42,2,0,27.0,1,0,21.0,2
548,2,1,28.0,0,0,13.8625,0
109,3,1,38.0,0,0,7.8958,2
604,3,1,44.0,0,0,8.05,2
57,2,0,21.0,0,0,10.5,2
395,3,0,24.0,0,2,16.7,2
707,2,0,45.0,0,0,13.5,2
550,2,1,8.0,1,1,36.75,2
25,3,0,8.0,3,1,21.075,2
352,1,1,28.0,0,0,35.0,2
430,3,1,32.0,0,0,8.05,2
435,1,1,50.0,1,0,55.9,2
52,3,1,21.0,0,0,7.8,2
527,2,0,50.0,0,0,10.5,2
817,3,0,23.0,0,0,7.925,2
570,3,1,32.0,0,0,7.8542,2
265,3,0,28.0,0,0,7.75,1
437,3,0,21.0,2,2,34.375,2
614,3,1,28.0,0,0,7.75,1
694,3,1,25.0,0,0,7.225,0
353,3,1,15.0,1,1,7.2292,0
19,3,0,31.0,1,0,18.0,2
667,2,1,25.0,0,0,13.0,2
583,2,1,54.0,0,0,26.0,2
84,1,1,28.0,0,0,47.1,2
62,1,0,38.0,0,0,80.0,2
273,2,0,41.0,0,1,19.5,2
286,3,1,33.0,0,0,8.6625,0
696,2,1,52.0,0,0,13.5,2
747,3,1,16.0,1,1,20.25,2
13,3,1,20.0,0,0,8.05,2
183,3,1,9.0,4,2,31.3875,2
445,3,1,28.0,0,0,8.1125,2
553,3,1,28.0,0,0,7.8292,1
224,3,1,28.0,0,0,7.8958,2
514,1,0,54.0,1,0,59.4,0
629,3,1,26.0,0,0,7.8958,2
588,1,1,60.0,1,1,79.2,0
693,3,1,28.0,0,0,56.4958,2
524,1,0,44.0,0,1,57.9792,0
665,3,1,20.0,1,0,7.925,2
177,3,1,28.0,3,1,25.4667,2
842,2,1,16.0,0,0,10.5,2
679,3,0,43.0,1,6,46.9,2
164,3,1,17.0,0,0,8.6625,2
249,1,1,37.0,1,1,52.5542,2
571,2,1,62.0,0,0,10.5,2
788,3,1,8.0,4,1,29.125,1
75,3,1,32.0,0,0,56.4958,2
114,3,0,20.0,1,0,9.825,2
636,2,0,28.0,0,0,13.0,2
502,3,0,21.0,0,0,7.75,1
105,3,1,37.0,2,0,7.925,2
115,3,0,17.0,0,0,14.4583,0
369,3,0,28.0,0,0,7.75,1
93,1,1,46.0,1,0,61.175,2
498,3,1,28.0,0,0,15.1,2
90,3,1,24.0,0,0,8.05,2
337,1,1,29.0,1,0,66.6,2
880,1,0,56.0,0,1,83.1583,0
818,2,1,31.0,1,1,37.0042,0
829,3,1,28.0,0,0,7.75,1
544,2,1,32.0,1,0,26.0,2
549,3,1,33.0,1,1,20.525,2
95,3,1,59.0,0,0,7.25,2
12,1,0,58.0,0,0,26.55,2
432,3,0,28.0,1,0,16.1,2
44,2,0,3.0,1,2,41.5792,0
43,3,1,28.0,0,0,7.8958,0
330,1,0,16.0,0,1,57.9792,0
168,3,0,45.0,1,4,27.9,2
780,1,0,43.0,0,1,211.3375,2
538,1,0,30.0,0,0,106.425,0
736,3,1,28.5,0,0,16.1,2
500,3,1,24.0,0,0,7.7958,2
179,2,1,30.0,0,0,13.0,2
584,1,1,36.0,0,0,40.125,0
785,3,1,25.0,0,0,7.05,2
594,3,0,28.0,0,2,7.75,1
178,1,0,50.0,0,0,28.7125,0
645,3,0,0.75,2,1,19.2583,0
711,1,0,24.0,0,0,49.5042,0
616,2,0,24.0,1,2,65.0,2
384,1,0,35.0,1,0,52.0,2
258,1,0,30.0,0,0,86.5,2
735,2,1,23.0,0,0,13.0,2
336,3,1,28.0,0,0,7.8958,2
552,2,1,27.0,0,0,26.0,2
16,2,0,55.0,0,0,16.0,2
4,1,0,35.0,1,0,53.1,2
412,3,1,28.0,0,0,6.8583,1
257,1,0,28.0,0,0,79.2,0
452,3,1,28.0,1,0,19.9667,2
474,2,0,23.0,0,0,13.7917,0
698,3,0,28.0,0,0,7.7333,1
394,1,0,23.0,1,0,113.275,0
223,3,1,51.0,0,0,8.05,2
507,2,0,33.0,0,2,26.0,2
568,3,0,29.0,0,4,21.075,2
421,3,1,28.0,0,0,7.8958,0
325,3,1,28.0,8,2,69.55,2
531,2,0,2.0,1,1,26.0,2
10,2,0,14.0,1,0,30.0708,0
250,2,1,54.0,1,0,26.0,2
23,3,0,15.0,0,0,8.0292,1
357,1,0,22.0,0,1,55.0,2
222,2,1,27.0,0,0,13.0,2
602,3,1,28.0,0,0,7.8958,2
767,1,1,28.0,0,0,39.6,0
875,2,0,28.0,1,0,24.0,0
529,3,1,39.0,0,0,7.925,2
341,2,1,2.0,1,1,26.0,2
744,3,1,24.0,1,0,16.1,2
520,3,1,32.0,0,0,7.8958,2
204,3,1,45.5,0,0,7.225,0
238,2,0,8.0,0,2,26.25,2
94,3,1,26.0,1,2,20.575,2
731,1,0,29.0,0,0,211.3375,2
441,2,0,45.0,1,1,26.25,2
560,3,0,36.0,1,0,17.4,2
285,1,1,28.0,0,0,26.0,2
185,3,0,4.0,0,2,22.025,2
792,2,1,16.0,0,0,26.0,2
488,1,1,58.0,0,0,29.7,0
154,3,1,40.5,0,2,14.5,2
76,3,1,25.0,0,0,7.65,2
657,3,1,28.0,0,0,7.8958,2
632,3,1,51.0,0,0,7.0542,2
278,2,1,28.0,0,0,0.0,2
69,3,0,17.0,4,2,7.925,2
826,3,1,28.0,0,0,6.95,1
189,3,1,40.0,1,1,15.5,1
272,3,1,25.0,0,0,0.0,2
663,1,1,47.0,0,0,25.5875,2
712,1,1,28.0,0,0,26.55,2
237,2,1,44.0,1,0,26.0,2
89,1,0,23.0,3,2,263.0,2
758,2,1,18.0,0,0,11.5,2
118,2,1,29.0,1,0,21.0,2
126,3,1,12.0,1,0,11.2417,0
732,3,1,11.0,0,0,18.7875,0
290,3,0,22.0,0,0,7.75,1
239,2,1,19.0,0,0,10.5,2
1,3,1,22.0,1,0,7.25,2
882,3,1,33.0,0,0,7.8958,2
468,1,1,56.0,0,0,26.55,2
828,2,1,1.0,0,2,37.0042,0
396,3,1,22.0,0,0,7.7958,2
532,3,1,28.0,0,0,7.2292,0
127,3,1,28.0,0,0,7.75,1
279,3,1,7.0,4,1,29.125,1
692,3,0,4.0,0,1,13.4167,0
117,3,1,70.5,0,0,7.75,1
229,2,1,18.0,0,0,13.0,2
623,3,1,20.0,1,1,15.7417,0
656,2,1,24.0,2,0,73.5,2
599,3,1,28.0,0,0,7.225,0
517,2,0,34.0,0,0,10.5,2
275,3,0,28.0,0,0,7.75,1
319,1,0,31.0,0,2,164.8667,2
607,3,1,30.0,0,0,7.8958,2
145,2,1,18.0,0,0,11.5,2
635,3,0,9.0,3,2,27.9,2
559,1,0,39.0,1,1,79.65,2
810,1,0,33.0,1,0,53.1,2
746,1,1,70.0,1,1,71.0,2
370,1,0,24.0,0,0,69.3,0
269,1,0,58.0,0,1,153.4625,2
624,3,1,21.0,0,0,7.8542,2
308,1,0,17.0,1,0,108.9,0
424,3,0,28.0,1,1,14.4,2
311,1,0,24.0,0,0,83.1583,0
355,3,1,28.0,0,0,7.225,0
47,3,1,28.0,1,0,15.5,1
350,3,1,42.0,0,0,8.6625,2
372,3,1,18.0,1,0,6.4958,2
480,3,0,2.0,0,1,12.2875,2
577,2,0,34.0,0,0,13.0,2
262,3,1,3.0,4,2,31.3875,2
196,1,0,58.0,0,0,146.5208,0
891,3,1,32.0,0,0,7.75,1
745,3,1,31.0,0,0,7.925,2
108,3,1,28.0,0,0,7.775,2
867,2,0,27.0,1,0,13.8583,0
60,3,1,11.0,5,2,46.9,2
659,2,1,23.0,0,0,13.0,2
264,1,1,40.0,0,0,0.0,2
569,3,1,28.0,0,0,7.2292,0
101,3,0,28.0,0,0,7.8958,2
444,2,0,28.0,0,0,13.0,2
491,3,1,28.0,1,0,19.9667,2
688,3,1,19.0,0,0,10.1708,2
800,3,0,30.0,1,1,24.15,2
641,3,1,20.0,0,0,7.8542,2
170,3,1,28.0,0,0,56.4958,2
180,3,1,36.0,0,0,0.0,2
305,3,1,28.0,0,0,8.05,2
342,1,0,24.0,3,2,263.0,2
58,3,1,28.5,0,0,7.2292,0
859,3,0,24.0,0,3,19.2583,0
150,2,1,42.0,0,0,13.0,2
125,1,1,54.0,0,1,77.2875,2
704,3,1,25.0,0,0,7.7417,1
51,3,1,7.0,4,1,39.6875,2
354,3,1,25.0,1,0,17.8,2
824,3,0,27.0,0,1,12.475,2
143,3,0,24.0,1,0,15.85,2
471,3,1,28.0,0,0,7.25,2
400,2,0,28.0,0,0,12.65,2
576,3,1,19.0,0,0,14.5,2
321,3,1,22.0,0,0,7.25,2
20,3,0,28.0,0,0,7.225,0
793,3,0,28.0,8,2,69.55,2
708,1,1,42.0,0,0,26.2875,2
724,2,1,50.0,0,0,13.0,2
408,2,1,3.0,1,1,18.75,2
558,1,1,28.0,0,0,227.525,0
39,3,0,18.0,2,0,18.0,2
176,3,1,18.0,1,1,7.8542,2
246,1,1,44.0,2,0,90.0,1
741,1,1,28.0,0,0,30.0,2
603,1,1,28.0,0,0,42.4,2
769,3,1,28.0,1,0,24.15,1
765,3,1,16.0,0,0,7.775,2
155,3,1,28.0,0,0,7.3125,2
288,3,1,22.0,0,0,7.8958,2
751,2,0,4.0,1,1,23.0,2
18,2,1,28.0,0,0,13.0,2
128,3,1,24.0,0,0,7.1417,2
323,2,0,30.0,0,0,12.35,1
256,3,0,29.0,0,2,15.2458,0
771,3,1,24.0,0,0,9.5,2
857,1,0,45.0,1,1,164.8667,2
191,2,0,32.0,0,0,13.0,2
116,3,1,21.0,0,0,7.925,2
738,1,1,35.0,0,0,512.3292,0
181,3,0,28.0,8,2,69.55,2
302,3,1,28.0,2,0,23.25,1
680,1,1,36.0,0,1,512.3292,0
639,3,0,41.0,0,5,39.6875,2
650,3,0,23.0,0,0,7.55,2
617,3,1,34.0,1,1,14.4,2
597,2,0,28.0,0,0,33.0,2
518,3,1,28.0,0,0,24.15,1
